,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project - Enter Project Name and CSI Division Number,,CLIN 0001 - Renovate Lab and Office Space in Building 508,, CLIN 0002- Install Power to Outside Cooler,,CLIN 0003 - Install Autoclave in building 503 and remove existing autoclave from that location,,0003 -- Architectural Finishes,,0004 -- Repairs To Overhead Crane,,0005 -- Mechanical,,0006 -- Plumbing,,0007 -- Electrical,,0008 -- Communications,,0009 -- Roofing Repairs,,0010 -- Design,,New CLIN - Hide if Not Used,,CLIN 0004 - Install overhead power in Room 120,,CLIN 0004 - To Remove the existing Cooler/Freezer,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$185,524.93", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary,,,
"Bid Submitted - January 27, 2015", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL, ,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,,,,
Category,RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,$/Hour,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,,Bid Notes
Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.00,,
Office Trailer for Job Site ,$0.00 ,,$0.00 ,,$0.00 ,,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,$0.00 ,,$0.00 ,0,$0.00,,
Misc Expendable Field Supplies & Tools/ Trailer/ Photographs/ Mobile Phone & Data/Cleaning Supplies/Ice/Dumpsters/Etc - per field day,$39.00 ,132,"$5,148.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,132,"$5,148.00",,Misc Expendable Field Supplies & Tools/ Trailer/ Photographs/ Mobile Phone & Data/Cleaning Supplies/Ice/Dumpsters/Etc - per field day
Overnight Shipping,$19.84 ,56,"$1,111.04 ",0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,,,,,0,$0.00 ,,$0.00 ,56,"$1,111.04",,This cost is for Standard shipping as required for deliverables per the contract.
Project Safety Board,"$1,500.00 ",1,"$1,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"$1,500.00",,
Independent Surveyor,$0.00 ,1,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,$0.00,,
,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0.00,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
CLINS and Options from Subcontractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.00,,
CLIN 0001 - Renovate Lab and Office Space in Building 508,,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00,,
,,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00,,
,,0,$0.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00,,
,,0,$0.00 ,0,$0.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00 ,1,$0.00 ,2,$0.00,,
CLIN 0002- Install Power to Outside Cooler,,0,$0.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
CLIN 0003 - Install Autoclave in building 508 and remove existing autoclave from that location,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
CLIN 0004 - To Remove the existing Cooler/Freezer,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
Room 104 Furniture,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00,,
,,0,$0.00 ,0,$0.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$0.00 ,1,$0.00 ,2,$0.00,,
RODI Installation,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
